timestamp,action_type,location_name,target_id,nearest_obs,status
"2025-12-20T22:30:36.898Z","포인트공유","슬도 문어낙지 포인트  ","p1766269825338","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:30:57.252Z","포인트공유","포인트1","p1","포인트1","TRUE"
"2025-12-20T22:30:59.688Z","포인트공유","슬도 문어낙지 포인트  ","p1766269825338","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:32:31.923Z","포인트공유","슬도 문어낙지 포인트  ","p1766269825338","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:33:13.984Z","포인트공유","슬도 문어낙지 포인트  ","p1766269825338","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:39:54.729Z","포인트공유","슬도 문어낙지 포인트  ","p1766270365423","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:40:12.857Z","포인트공유","e2e-test-1766135920155","p1766135924315","e2e-test-1766135920155","TRUE"
"2025-12-20T22:40:14.529Z","포인트공유","슬도 문어낙지 포인트  ","p1766270365423","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:40:43.532Z","포인트공유","슬도 문어낙지 포인트  ","p1766270365423","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:42:06.806Z","포인트공유","슬도 문어낙지 포인트  ","p1766270365423","슬도 문어낙지 포인트  ","TRUE"
"2025-12-20T22:49:26.665Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T22:49:26.694Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T22:49:30.321Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T22:49:30.648Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:10:44.063Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:10:44.394Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:10:48.380Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:10:48.399Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:11:02.421Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:11:02.446Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:11:13.895Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:11:14.638Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:11:35.750Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:11:36.075Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:11:45.391Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:11:45.631Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:12:18.860Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:12:19.041Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:13:15.286Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:13:15.319Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-20T23:53:53.459Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T23:53:53.641Z","일본파고","2025-12-20","","","TRUE"
"2025-12-21T00:23:37.064Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:32:16.200Z","VIEW_WEATHER","(35.5316489, 129.4346605)","","부산","SUCCESS"
"2025-12-21T00:32:28.411Z","일본파고","20251221","","","TRUE"
"2025-12-21T00:35:51.242Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:36:57.476Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:45:44.050Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:45:44.067Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:45:50.251Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:45:50.404Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:47:11.161Z","일본파고","2025-12-21","","","TRUE"
"2025-12-21T00:47:11.314Z","일본파고","2025-12-21","","","TRUE"
